Date,avg_water_temp
02-01-2001,26
03-01-2001,28.3
04-01-2001,29.2
05-01-2001,29.7
06-01-2001,29.5
07-01-2001,28.3
08-01-2001,28
09-01-2001,28.3
10-01-2001,28.2
11-01-2001,29.2
12-01-2001,29.2
01-01-2002,28.2
02-01-2002,27
03-01-2002,28.3
04-01-2002,28.2
05-01-2002,29.7
06-01-2002,28.7
07-01-2002,28.7
08-01-2002,28.3
09-01-2002,28.7
10-01-2002,29
11-01-2002,27
12-01-2002,28.2
01-01-2003,26.8
02-01-2003,27.3
03-01-2003,28.91
04-01-2003,30.7
05-01-2003,30.6
06-01-2003,30.5
07-01-2003,30.25
08-01-2003,30
09-01-2003,30.51
10-01-2003,31
11-01-2003,32
12-01-2003,30.5
01-01-2004,30
02-01-2004,30.71
03-01-2004,31.38
04-01-2004,32.1
05-01-2004,32.79
06-01-2004,33.5
07-01-2004,33.5
08-01-2004,34
09-01-2004,30.5
10-01-2004,29
11-01-2004,29.5
12-01-2004,28
01-01-2005,27.5
02-01-2005,27
03-01-2005,27
04-01-2005,31
05-01-2005,30.5
06-01-2005,31.5
07-01-2005,30
08-01-2005,30
09-01-2005,29
10-01-2005,30
11-01-2005,29.5
12-01-2005,28
01-01-2006,28.5
02-01-2006,28
03-01-2006,28.5
04-01-2006,31
05-01-2006,31
06-01-2006,29
07-01-2006,29
08-01-2006,28
09-01-2006,29
10-01-2006,29
11-01-2006,28.5
12-01-2006,28
01-01-2007,26
02-01-2007,27
03-01-2007,27
04-01-2007,30
05-01-2007,31.5
06-01-2007,30.5
07-01-2007,28
08-01-2007,27
09-01-2007,27.5
10-01-2007,28
11-01-2007,28
12-01-2007,27
01-01-2008,26.5
02-01-2008,28
03-01-2008,27.5
04-01-2008,28.5
05-01-2008,31
06-01-2008,31
07-01-2008,29
08-01-2008,30
09-01-2008,29
10-01-2008,29
11-01-2008,28.5
12-01-2008,28
01-01-2009,25.5
02-01-2009,27
03-01-2009,29
04-01-2009,30.27
05-01-2009,31.5
06-01-2009,30.5
07-01-2009,29
08-01-2009,29
09-01-2009,28
10-01-2009,27.5
11-01-2009,27.5
12-01-2009,27.5
01-01-2010,26.5
02-01-2010,25
03-01-2010,26
04-01-2010,30
05-01-2010,30
06-01-2010,30
07-01-2010,30
08-01-2010,28
09-01-2010,29
10-01-2010,29.5
11-01-2010,28.5
12-01-2010,27.5
01-01-2011,26
02-01-2011,26.5
03-01-2011,28
04-01-2011,30
05-01-2011,32
06-01-2011,31
07-01-2011,30
08-01-2011,30
09-01-2011,28
10-01-2011,29
11-01-2011,29
12-01-2011,27.5
01-01-2012,26
02-01-2012,26.5
03-01-2012,28
04-01-2012,30.5
05-01-2012,32
06-01-2012,30.5
07-01-2012,29
08-01-2012,29
09-01-2012,30
10-01-2012,29
11-01-2012,25.5
12-01-2012,27
01-01-2013,26
02-01-2013,26
03-01-2013,27.5
04-01-2013,28
05-01-2013,28
06-01-2013,28
07-01-2013,28
08-01-2013,25
09-01-2013,27
10-01-2013,27
11-01-2013,28.5
12-01-2013,28
01-01-2014,25.5
02-01-2014,26.5
03-01-2014,26.5
04-01-2014,27
05-01-2014,28.5
06-01-2014,27.5
07-01-2014,27.5
08-01-2014,26.5
09-01-2014,27
10-01-2014,27.5
11-01-2014,26.5
12-01-2014,23.5
01-01-2015,24
02-01-2015,25
03-01-2015,25.5
04-01-2015,26.5
05-01-2015,28.5
06-01-2015,26.5
07-01-2015,29
08-01-2015,27
09-01-2015,27.5
10-01-2015,27.5
11-01-2015,25.5
12-01-2015,24
01-01-2016,24
02-01-2016,24
03-01-2016,25
04-01-2016,27
05-01-2016,30
06-01-2016,27
07-01-2016,28.5
08-01-2016,29.5
09-01-2016,28
10-01-2016,29.5
11-01-2016,29
12-01-2016,27.5
01-01-2017,27
02-01-2017,27.5
